"gene","accession_idsorted","LAP_SD_WW","annotation","symbol"
"AT5G05420",9844,0.6,"FKBP-like peptidyl-prolyl cis-trans isomerase family protein(AT5G05420)","AT5G05420"
"AT2G43060",9518,0.59,"ILI1 binding bHLH 1(IBH1)","IBH1"
"AT1G12490",9586,0.58,"F-box associated ubiquitination effector family protein(AT1G12490)","AFBA1"
"AT5G12230",9522,0.57,"mediator of RNA polymerase II transcription subunit 19a-like protein(MED19A)","MED19A"
"AT2G40960",9526,0.56,"Single-stranded nucleic acid binding R3H protein(AT2G40960)","AT2G40960"
"AT3G55005",9845,0.55,"tonneau 1b (TON1b)(TON1B)","TON1B"
"AT4G01920",9557,0.54,"Cysteine/Histidine-rich C1 domain family protein(AT4G01920)","AT4G01920"
"AT1G09600",9874,0.52,"Protein kinase superfamily protein(AT1G09600)","AT1G09600"
"AT1G31814",9533,0.51,"FRIGIDA like 2(FRL2)","FRL2"
"AT5G05430",9845,0.51,"RNA-binding protein(AT5G05430)","AT5G05430"
"AT1G46768",9598,0.5,"related to AP2 1(RAP2.1)","RAP2.1"
"AT1G54740",9568,0.5,"FANTASTIC four-like protein (DUF3049)(AT1G54740)","AT1G54740"
"AT4G15780",9550,0.5,"vesicle-associated membrane protein 724(VAMP724)","VAMP724"
"AT5G19310",9543,0.5,"homeotic protein regulator(CHR23)","CHR23"
"AT1G14210",9568,0.49,"Ribonuclease T2 family protein(AT1G14210)","AT1G14210"
"AT1G42980",9905,0.49,"Actin-binding FH2 (formin homology 2) family protein(AT1G42980)","AT1G42980"
"AT3G46040",9880,0.49,"ribosomal protein S15A D(RPS15AD)","RPS15AD"
"AT4G07504",9593,0.49,"hypothetical protein(AT4G07504)","AT4G07504"
"AT5G16070",9944,0.49,"TCP-1/cpn60 chaperonin family protein(AT5G16070)","AT5G16070"
"AT5G43320",9846,0.49,"casein kinase I-like 8(ckl8)","ckl8"
"AT1G48405",9871,0.48,"Kinase interacting (KIP1-like) family protein(AT1G48405)","AT1G48405"
"AT2G21540",9588,0.48,"SEC14-like 3(SFH3)","SFH3"
"AT3G10680",9819,0.48,"HSP20-like chaperones superfamily protein(AT3G10680)","AT3G10680"
"AT3G26250",9855,0.48,"Cysteine/Histidine-rich C1 domain family protein(AT3G26250)","AT3G26250"
"AT3G60390",9533,0.48,"homeobox-leucine zipper protein 3(HAT3)","HAT3"
"AT4G12740",9601,0.48,"HhH-GPD base excision DNA repair family protein(AT4G12740)","AT4G12740"
"AT5G67380",9880,0.48,"casein kinase alpha 1(CKA1)","CKA1"
"AT1G14690",6970,0.47,"microtubule-associated protein 65-7(MAP65-7)","MAP65-7"
"AT1G63150",9832,0.47,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G63150)","AT1G63150"
"AT2G18890",9524,0.47,"Protein kinase superfamily protein(AT2G18890)","AT2G18890"
"AT2G26300",9880,0.47,"G protein alpha subunit 1(GP ALPHA 1)","GP ALPHA 1"
"AT2G43110",9533,0.47,"U3 containing 90S pre-ribosomal complex subunit(AT2G43110)","AT2G43110"
"AT3G01345",8357,0.47,"Expressed protein(AT3G01345)","AT3G01345"
"AT3G05060",9880,0.47,"NOP56-like pre RNA processing ribonucleoprotein(AT3G05060)","AT3G05060"
"AT3G05140",9524,0.47,"ROP binding protein kinases 2(RBK2)","RBK2"
"AT4G04402",9844,0.47,"two-component phosphorelay mediator(AT4G04402)","AT4G04402"
"AT4G37770",9518,0.47,"1-amino-cyclopropane-1-carboxylate synthase 8(ACS8)","ACS8"
"AT5G19480",9844,0.47,"mediator of RNA polymerase II transcription subunit(AT5G19480)","AT5G19480"
"AT5G38050",9905,0.47,"RNA polymerase II transcription elongation factor(AT5G38050)","AT5G38050"
"AT1G14930",9832,0.46,"Polyketide cyclase/dehydrase and lipid transport superfamily protein(AT1G14930)","AT1G14930"
"AT1G31935",9819,0.46,"ncRNA(AT1G31935)","AT1G31935"
"AT1G48050",9874,0.46,"Ku80 family protein(KU80)","KU80"
"AT1G68800",9874,0.46,"TCP domain protein 12(TCP12)","TCP12"
"AT2G02710",9845,0.46,"PAS/LOV protein B(PLPB)","PLPB"
"AT2G02910",9557,0.46,"transmembrane protein (DUF616)(AT2G02910)","AT2G02910"
"AT2G20670",9846,0.46,"sugar phosphate exchanger, putative (DUF506)(AT2G20670)","AT2G20670"
"AT3G04920",9588,0.46,"Ribosomal protein S24e family protein(AT3G04920)","AT3G04920"
"AT3G15550",9874,0.46,"trichohyalin(AT3G15550)","AT3G15550"
"AT3G43850",9874,0.46,"hypothetical protein(AT3G43850)","AT3G43850"
"AT4G01330",9567,0.46,"Protein kinase superfamily protein(AT4G01330)","AT4G01330"
