accession_id,accession_name,CS_number,LA_SD_WW,LA_SD_WW_SE,LA_SD_LW,LA_SD_LW_SE
6909,Col-0,CS76778,69.72483333,5.237302642,32.9925,2.249670513
6961,Se-0,CS76597,138.6722857,11.37714889,72.8624,3.863717285
6970,Ts-1,CS76615,94.908,11.78980513,57.42425,4.698068617
7081,Co,CS78895,68.6194,15.00045576,39.95725,4.957459453
8357,Pla-0,CS76573,112.5286,2.767713291,46.6355,5.8935
9518,IP-Alm-0,CS76660,89.76083333,5.904501997,81.6882,4.753113857
9522,IP-Bea-0,CS76695,114.4735714,11.75255667,68.094,19.18506575
9524,IP-Ber-0,CS78887,110.35375,7.231387872,90.95575,14.48545032
9526,IP-Cab-3,CS76738,78.69185714,5.886359686,29.401,5.617303609
9528,IP-Cal-0,CS78890,113.3876667,1.988981409,62.97075,5.011293934
9531,IP-Cdc-3,CS76761,61.0655,5.425311142,75.90366667,9.749425493
9533,IP-Cem-0,CS76763,79.6206,4.410178291,NA,NA
9535,IP-Coc-1,CS76776,62.2525,9.720733685,56.59525,4.101300736
9539,IP-Deh-1,CS76776,77.26966667,0.949751605,NA,NA
9543,IP-Gra-0,CS76886,60.9715,5.060521408,62.304,5.76335031
9547,IP-Hor-0,CS76930,110.9726,9.637009612,56.45466667,8.864069219
9550,IP-Iso-4,CS76946,44.42866667,2.029483706,NA,NA
9557,IP-Moa-0,CS77102,72.44216667,5.263018471,82.22325,4.589411843
9560,IP-Mot-0,CS77109,106.403,8.705610222,48.864,7.201498201
9567,IP-Pal-0,CS77159,90.82366667,5.099480906,69.99225,8.430990465
9568,IP-Pan-0,CS77160,56.9674,3.845840527,35.88466667,10.3982195
9584,IP-Stp-0,CS77283,91.13025,10.46148965,78.177,5.168
9586,IP-Tam-0,CS77340,38.7454,2.240657372,37.5054,5.767349995
9587,IP-Tdc-0,CS77344,38.05275,5.684385592,54.21133333,19.6824397
9588,IP-Tol-7,CS77371,82.3215,6.112037368,81.29733333,12.8157326
9593,IP-Vaz-0,CS78836,60.48783333,8.989339632,43.254,6.821077652
9598,IP-Vim-0,CS78844,90.581,6.480533111,65.71525,8.263714413
9601,IP-Voz-0,CS78849,95.63383333,8.626200289,81.5375,4.612861901
9819,IP-Amu-0,CS76664,51.6206,7.783743666,NA,NA
9822,IP-Aul-0,CS76675,95.878,12.20137713,46.05125,9.840470368
9825,IP-Boa-0,CS76714,92.74475,8.28616864,81.441,8.018956935
9832,IP-Cat-0,CS76759,79.92483333,4.680607862,77.1164,2.573602137
9844,IP-Esn-2,CS76846,62.56714286,4.464145044,65.805,9.470405113
9845,IP-Evs-0,CS76848,105.086,7.296562867,NA,NA
9846,IP-Ezc-2,CS76849,72.703,1.647757668,63.205,4.177874914
9855,IP-Lam-0,CS77008,101.2104,5.691624659,NA,NA
9857,IP-Leg-0,CS77019,77.223,14.47471861,85.505,14.09835462
9869,IP-Moj-0,CS77105,79.749,11.52474865,NA,NA
9871,IP-Nac-0,CS77117,35.667,3.121956091,NA,NA
9874,IP-Oja-0,CS77143,88.79857143,8.02060058,42.31825,6.338586519
9880,IP-Pib-1,CS77175,73.62066667,3.407383245,66.004,12.10340515
9887,IP-Pun-0,CS77196,57.7598,4.008919548,56.38933333,23.0315596
9905,IP-Ven-0,CS78840,76.43528571,5.698596117,42.62833333,0.043020667
9944,Don-0,CS76411,106.2393333,13.87564413,NA,NA
