accession_id,name,LAP_SD_WW,LAP_SD_LW,FTP_SD_WW,FTP_SD_LW,heightP_SD_WW,heightP_SD_LW,YieldP_SD_WW,YieldP_SD_LW,LAP_LD,heightP_LD,FTP_LD,YieldP_LD,LAPdSI_drought,FTPSI_drought,HeightPSI_drought,YielPSI_drought,LAPSI_photoperiod,FTPSI_photoperiod,HeightPSI_photoperiod,YPSI_photoperiod,SRTM_elevation
9944,Don-0,1.309936127,NA,0.674102769,NA,0.848642982,NA,1.384241384,NA,0.612459619,1.268034257,0.624658275,1.544363924,NA,NA,NA,NA,-0.697476508,-0.049444494,0.419391275,0.16012254,4
6970,Ts-1,1.170220238,0.939460541,0.661878107,0.614305176,1.07617051,1.266093053,1.558598185,3.284348029,1.308332486,1.605568555,0.692456551,5.118324097,-0.230759697,-0.047572931,0.189922543,1.725749844,0.138112248,0.030578444,0.529398045,3.559725912,14
7081,Co,0.846080526,0.653700479,0.647907065,0.587401299,0.980499894,1.09505943,2.658562177,3.895275861,0.601162752,0.957867604,0.338229602,2.289750929,-0.192380047,-0.060505766,0.114559536,1.236713684,-0.244917774,-0.309677463,-0.02263229,-0.368811248,100
9522,IP-Bea-0,1.411464682,1.114017616,0.739766665,0.753308536,0.983275829,1.569659224,2.142314432,1.257696765,NA,NA,NA,NA,-0.297447066,0.013541871,0.586383395,-0.884617667,NA,NA,NA,NA,148
8357,Pla-0,1.38748309,0.762956627,0.704140509,0.971528866,0.973758337,NA,1.816646251,NA,1.663408641,0.932020383,0.605613815,1.783082638,-0.624526463,0.267388357,NA,NA,0.275925551,-0.098526694,-0.041737954,-0.033563613,219
9526,IP-Cab-3,0.970274411,0.481000263,0.770153681,0.612063186,0.802542633,1.001027958,1.778439369,3.479844935,1.133250563,1.030847993,0.722737242,3.308933683,-0.489274148,-0.158090495,0.198485325,1.701405566,0.162976152,-0.047416439,0.22830536,1.530494314,301
9560,IP-Mot-0,1.311954145,0.799414879,0.649653446,0.762276495,0.941835085,1.274977917,1.088592896,0.43986804,NA,NA,NA,NA,-0.512539266,0.112623049,0.333142832,-0.648724856,NA,NA,NA,NA,538
9844,IP-Esn-2,0.771455903,1.076569583,0.983212069,1.180781238,0.743058312,1.141704964,0.677717304,0.928610306,0.940336532,0.472091891,1.119814224,0.105961878,0.30511368,0.197569169,0.398646652,0.250893002,0.168880629,0.136602155,-0.270966421,-0.571755426,542
9547,IP-Hor-0,1.368297534,0.923598161,1.004168632,1.225621032,0.943817896,1.501541937,0.504118576,1.998955869,NA,NA,NA,NA,-0.444699373,0.2214524,0.557724041,1.494837293,NA,NA,NA,NA,553
9880,IP-Pib-1,0.907746387,1.079825223,1.122922488,1.255514227,0.826336361,1.214264683,0.188760189,0.198755188,NA,NA,NA,NA,0.172078836,0.132591739,0.387928322,0.009994999,NA,NA,NA,NA,618
9845,IP-Evs-0,1.295715471,NA,0.94514098,NA,1.070717781,NA,0.483953833,NA,2.138381242,0.45916828,1.009356359,0.10230802,NA,NA,NA,NA,0.842665771,0.064215379,-0.611549501,-0.381645813,639
9825,IP-Boa-0,1.143547261,1.332374492,0.798968955,0.80263231,1.588231375,1.883591069,1.149617776,1.307385562,1.199123787,1.067338187,0.651320518,1.011387857,0.188827231,0.003663355,0.295359694,0.157767786,0.055576526,-0.147648437,-0.520893188,-0.138229919,655
9857,IP-Leg-0,0.952163331,1.398861519,0.882271292,0.860924042,1.188199315,1.03064417,1.724995219,2.759764663,NA,NA,NA,NA,0.446698188,-0.02134725,-0.157555145,1.034769444,NA,NA,NA,NA,682
9598,IP-Vim-0,1.116868118,1.075101274,0.802636354,0.908005825,1.167875505,1.719221094,1.221710523,1.346484943,NA,NA,NA,NA,-0.041766844,0.105369471,0.551345589,0.12477442,NA,NA,NA,NA,691
9855,IP-Lam-0,1.247929135,NA,0.769105853,NA,1.11681813,NA,2.657425067,NA,1.136315356,1.286279354,0.597996031,2.402776932,NA,NA,NA,NA,-0.111613779,-0.171109822,0.169461224,-0.254648135,720
9832,IP-Cat-0,0.985477067,1.26162405,1.053067279,0.903970244,0.533574361,0.676138115,1.503713697,2.15242094,NA,NA,NA,NA,0.276146983,-0.149097035,0.142563754,0.648707243,NA,NA,NA,NA,723
6961,Se-0,1.709836001,1.192028624,0.736972457,0.625515124,1.199203915,1.476368157,0.917874846,1.081749549,1.204003143,1.032368418,0.510391517,0.954874855,-0.517807377,-0.111457333,0.277164242,0.163874703,-0.505832858,-0.22658094,-0.166835497,0.037000009,744
9869,IP-Moj-0,0.983309034,NA,0.890653917,NA,0.924386351,NA,1.478242442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,752
9531,IP-Cdc-3,0.752940573,1.241783737,1.131654389,1.177791918,1.334573234,1.997317322,0.374271493,0.965754718,0.651054262,1.239754356,1.558598573,0.456001462,0.488843164,0.046137529,0.662744088,0.591483225,-0.101886311,0.426944184,-0.094818878,0.081729969,787
9887,IP-Pun-0,0.712181132,0.922529308,1.066689044,1.318289939,0.855724449,0.5034756,1.560764108,0.847153261,1.062693131,0.767206338,1.314067712,0.777540954,0.210348176,0.251600895,-0.352248849,-0.713610847,0.350511999,0.247378668,-0.088518111,-0.783223154,788
9588,IP-Tol-7,1.015028083,1.330024106,1.000675872,1.23757831,1.959158606,1.200937387,0.509425088,0.283470514,1.150003914,1.539886205,0.982694115,0.403385908,0.314996023,0.236902438,-0.758221219,-0.225954574,0.134975831,-0.017981757,-0.419272401,-0.10603918,806
9822,IP-Aul-0,1.182180385,0.753398298,0.829530609,0.851956083,0.898956804,0.844062036,1.80345578,0.531099929,0.408660453,0.875764667,0.420501668,1.640582181,-0.428782087,0.022425474,-0.054894768,-1.272355851,-0.773519932,-0.409028941,-0.023192137,-0.162873599,808
9874,IP-Oja-0,1.094890688,0.692326431,0.590276518,0.562739413,0.948774922,1.400846817,2.355181343,1.769247004,0.56978285,1.113863185,0.459352366,1.280311796,-0.402564257,-0.027537105,0.452071895,-0.585934339,-0.525107838,-0.130924152,0.165088263,-1.074869547,809
9846,IP-Ezc-2,0.896431512,1.034033592,1.43901731,1.180183374,0.649370506,0.38315974,0.209986234,NA,0.848144154,1.066577975,1.197896509,0.699104805,0.13760208,-0.258833936,-0.266210766,NA,-0.048287358,-0.241120801,0.417207469,0.489118571,834
9518,IP-Alm-0,1.106755424,1.336418683,0.944791704,1.045663992,1.077657618,1.681904667,0.766411851,2.453486176,1.20663605,1.299050922,1.110291995,0.31569332,0.229663259,0.100872288,0.604247049,1.687074325,0.099880626,0.165500291,0.221393304,-0.450718531,854
9539,IP-Deh-1,0.952738734,NA,0.977972929,NA,1.324517551,NA,1.143174155,NA,1.432429428,1.37750484,0.765587276,0.954874855,NA,NA,NA,NA,0.479690694,-0.212385653,0.052987289,-0.1882993,869
9533,IP-Cem-0,0.981725855,NA,0.997532387,NA,0.369397634,NA,1.349976483,NA,1.259322984,0.46220913,0.986503007,0.418975702,NA,NA,NA,NA,0.277597129,-0.01102938,0.092811496,-0.931000781,873
9819,IP-Amu-0,0.636484499,NA,1.316072141,NA,0.729872621,0.919583376,0.107343143,0.488742266,0.965294763,0.890968914,1.34834774,0.274770111,NA,NA,0.189710755,0.381399123,0.328810264,0.032275599,0.161096293,0.167426968,925
9587,IP-Tdc-0,0.469192251,0.886897235,1.652948888,1.228610351,0.556178403,0.963119207,0.165563154,0.326479834,0.778000054,1.400311212,1.779704749,0.774617867,0.417704984,-0.424338537,0.406940804,0.16091668,0.308807803,0.126755861,0.844132809,0.609054713,934
9601,IP-Voz-0,1.179169798,1.333953232,0.916849621,1.01562133,1.666155836,1.626818513,1.079799249,0.928610306,1.304808614,0.781498331,0.975076331,0.272821387,0.154783434,0.098771709,-0.039337323,-0.151188943,0.125638816,0.05822671,-0.884657505,-0.806977862,934
9586,IP-Tam-0,0.477732659,0.613588221,1.741490365,1.522759399,0.171760977,0.159927544,0.044347273,0.002443711,NA,NA,NA,NA,0.135855562,-0.218730966,-0.011833433,-0.041903562,NA,NA,NA,NA,1024
9524,IP-Ber-0,1.360667084,1.488035771,1.093932576,1.313805959,1.055103147,0.951568884,0.564006347,0.281515545,NA,NA,NA,NA,0.127368687,0.219873383,-0.103534263,-0.282490802,NA,NA,NA,NA,1079
9528,IP-Cal-0,1.398075423,1.030201263,0.815559567,0.87437598,1.349699247,1.503763153,1.622276321,1.549312984,0.666854904,0.406865668,1.523556768,0.05553864,-0.36787416,0.058816413,0.154063906,-0.072963337,-0.731220519,0.707997201,-0.942833579,-1.566737681,1107
9584,IP-Stp-0,1.123640398,1.278975463,0.887161157,1.180781238,1.031061567,1.25720819,0.538989937,0.56938474,1.443412137,0.517704634,0.899850716,0.043846294,0.155335065,0.293620081,0.226146623,0.030394803,0.319771739,0.012689559,-0.513356933,-0.495143643,1138
9557,IP-Moa-0,0.893215425,1.345172099,1.016393294,1.042525207,1.19464345,2.010644617,0.648910528,3.157275039,0.98559918,1.720512668,1.099246208,0.865233542,0.451956674,0.026131913,0.816001167,2.508364511,0.092383755,0.082852914,0.525869218,0.216323014,1152
9543,IP-Gra-0,0.751781549,1.019293235,0.964001887,0.855543266,0.866091716,1.335394989,1.205336145,1.917824652,0.614705428,0.499003409,1.599734606,0.105231107,0.267511686,-0.108458621,0.469303273,0.712488507,-0.137076121,0.635732719,-0.367088307,-1.100105038,1176
9871,IP-Nac-0,0.439775838,NA,1.786546975,NA,0.572040888,NA,0.20392165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1345
9567,IP-Pal-0,1.11986021,1.14507298,1.009407773,1.138930763,1.411265519,1.657027049,0.110678665,0.095304742,1.484722866,1.571815126,1.039827494,0.005846173,0.02521277,0.12952299,0.24576153,-0.015373923,0.364862656,0.030419721,0.160549607,-0.104832492,1429
9550,IP-Iso-4,0.547807612,NA,1.634611895,NA,0.029742161,NA,NA,NA,0.183115969,0.919856985,NA,1.841544364,NA,NA,NA,NA,-0.364691643,NA,0.890114824,NA,1664
9593,IP-Vaz-0,0.745817915,0.707635298,1.187538556,1.204695794,1.456091204,1.637036106,0.202730392,0.029324536,1.028204288,1.573639635,1.43290514,0.339808781,-0.038182617,0.017157238,0.180944902,-0.173405856,0.282386373,0.245366584,0.117548431,0.137078389,1713
9568,IP-Pan-0,0.702410802,0.587073029,1.278350328,0.980496825,1.022138919,1.263131432,0.062920063,0.058649072,0.830846946,0.072980389,1.816841446,0,-0.115337773,-0.297853503,0.240992513,-0.004270991,0.128436144,0.538491118,-0.94915853,-0.062920063,1735
9905,IP-Ven-0,0.942450776,0.697399393,1.155604746,1.372097691,1.065265051,0.811484203,0.250164106,0.117298144,NA,NA,NA,NA,-0.245051383,0.216492945,-0.253780848,-0.132865962,NA,NA,NA,NA,1737
