"","gene","accession_idsorted","SRTM_elevation","annotation","symbol"
"21308","AT5G39090",9587,0.56,"HXXXD-type acyl-transferase family protein(AT5G39090)","AT5G39090"
"7628","AT2G22810",9588,0.55,"1-aminocyclopropane-1-carboxylate synthase 4(ACS4)","ACS4"
"16744","AT4G22410",9524,0.55,"U4/U6.U5 tri-snRNP-associated-like protein(AT4G22410)","AT4G22410"
"21379","AT5G40040",9598,0.55,"60S acidic ribosomal protein family(AT5G40040)","AT5G40040"
"6800","AT2G10950",9526,0.54,"BSD domain-containing protein(AT2G10950)","AT2G10950"
"16545","AT4G20230",9547,0.54,"terpenoid synthase superfamily protein(AT4G20230)","AT4G20230"
"2819","AT1G31750",9944,0.53,"proline-rich family protein(AT1G31750)","GPRP1"
"3153","AT1G36680",9846,0.53,"hypothetical protein(AT1G36680)","AT1G36680"
"20165","AT5G19160",9846,0.53,"TRICHOME BIREFRINGENCE-LIKE 11(TBL11)","TBL11"
"121","AT1G02250",9593,0.52,"NAC domain containing protein 5(NAC005)","NAC005"
"5107","AT1G68650",9560,0.52,"Uncharacterized protein family (UPF0016)(AT1G68650)","AT1G68650"
"7596","AT2G22475",9598,0.52,"GRAM domain family protein(GEM)","GEM"
"11976","AT3G20490",9819,0.52,"Rho GTPase-activating protein(AT3G20490)","AT3G20490"
"2992","AT1G33930",9518,0.51,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT1G33930)","IAN6"
"6206","AT1G80040",9825,0.51,"ubiquitin system component Cue(AT1G80040)","AT1G80040"
"10669","AT3G07060",9531,0.51,"NHL domain-containing protein(emb1974)","emb1974"
"17144","AT4G26560",9874,0.51,"calcineurin B-like protein 7(CBL7)","CBL7"
"436","AT1G05430",9855,0.5,"hypothetical protein(AT1G05430)","AT1G05430"
"4420","AT1G61480",9524,0.5,"S-locus lectin protein kinase family protein(AT1G61480)","AT1G61480"
"9352","AT2G41080",9584,0.5,"pentatricopeptide (PPR) repeat protein(AT2G41080)","AT2G41080"
"10950","AT3G10290",9586,0.5,"Nucleotide-sugar transporter family protein(AT3G10290)","AT3G10290"
"17348","AT4G28600",9874,0.5,"no pollen germination related 2(NPGR2)","NPGR2"
"21622","AT5G42645",9844,0.5,"hypothetical protein(AT5G42645)","AT5G42645"
"21913","AT5G45490",9550,0.5,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT5G45490)","AT5G45490"
"3152","AT1G36675",9845,0.49,"glycine-rich protein(AT1G36675)","AT1G36675"
"10806","AT3G08885",9543,0.49,"miscRNA(AT3G08885)","AT3G08885"
"1308","AT1G14230",9586,0.48,"GDA1/CD39 nucleoside phosphatase family protein(AT1G14230)","AT1G14230"
"2140","AT1G22980",9905,0.48,"Grap2/cyclin-D-interacting protein(AT1G22980)","AT1G22980"
"4957","AT1G67170",9905,0.48,"sarcolemmal membrane-associated protein(AT1G67170)","AT1G67170"
"6762","AT2G07767",8357,0.48,"hypothetical protein(AT2G07767)","AT2G07767"
"15887","AT4G13885",9874,0.48,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein(AT4G13885)","AT4G13885"
"17113","AT4G26210",9944,0.48,"Mitochondrial ATP synthase subunit G protein(AT4G26210)","AT4G26210"
"18866","AT5G04970",9593,0.48,"Plant invertase/pectin methylesterase inhibitor superfamily(AT5G04970)","AT5G04970"
"19231","AT5G08780",9550,0.48,"winged-helix DNA-binding transcription factor family protein(AT5G08780)","AT5G08780"
"4726","AT1G64640",9526,0.47,"early nodulin-like protein 8(ENODL8)","ENODL8"
"7508","AT2G21350",6970,0.47,"RNA-binding CRS1 / YhbY (CRM) domain protein(AT2G21350)","AT2G21350"
"15029","AT4G01975",9593,0.47,"hypothetical protein(AT4G01975)","AT4G01975"
"16045","AT4G15242",9588,0.47,"ncRNA(AT4G15242)","AT4G15242"
"22251","AT5G48980",9543,0.47,"Galactose oxidase/kelch repeat superfamily protein(AT5G48980)","AT5G48980"
"22461","AT5G51480",9568,0.47,"SKU5 similar 2(SKS2)","SKS2"
"1503","AT1G16120",9533,0.46,"wall associated kinase-like 1(WAKL1)","WAKL1"
"3279","AT1G45050",9588,0.46,"Ubiquitin-conjugating enzyme family protein(ATUBC2-1)","ATUBC2-1"
"6358","AT2G01640",9526,0.46,"ribosome biogenesis protein(AT2G01640)","AT2G01640"
"7328","AT2G19550",9832,0.46,"alpha/beta-Hydrolases superfamily protein(AT2G19550)","AT2G19550"
"11424","AT3G14790",9568,0.46,"rhamnose biosynthesis 3(RHM3)","RHM3"
