Gene_id,LAP_well_watered,annotation,symbol
AT5G05420,0.59,FKBP-like peptidyl-prolyl cis-trans isomerase family protein(AT5G05420),AT5G05420
AT5G12230,0.57,mediator of RNA polymerase II transcription subunit 19a-like protein(MED19A),MED19A
AT1G12490,0.56,F-box associated ubiquitination effector family protein(AT1G12490),AFBA1
AT3G55005,0.56,tonneau 1b (TON1b)(TON1B),TON1B
AT2G40960,0.55,Single-stranded nucleic acid binding R3H protein(AT2G40960),AT2G40960
AT2G43060,0.54,ILI1 binding bHLH 1(IBH1),IBH1
AT4G01920,0.54,Cysteine/Histidine-rich C1 domain family protein(AT4G01920),AT4G01920
AT1G09600,0.52,Protein kinase superfamily protein(AT1G09600),AT1G09600
AT1G31814,0.52,FRIGIDA like 2(FRL2),FRL2
AT1G46768,0.51,related to AP2 1(RAP2.1),RAP2.1
AT1G54740,0.51,FANTASTIC four-like protein (DUF3049)(AT1G54740),AT1G54740
AT5G16070,0.51,TCP-1/cpn60 chaperonin family protein(AT5G16070),AT5G16070
AT1G42980,0.5,Actin-binding FH2 (formin homology 2) family protein(AT1G42980),AT1G42980
AT5G43320,0.5,casein kinase I-like 8(ckl8),CKL8
AT5G67380,0.5,casein kinase alpha 1(CKA1),CKA1
AT3G26250,0.49,Cysteine/Histidine-rich C1 domain family protein(AT3G26250),AT3G26250
AT3G46040,0.49,ribosomal protein S15A D(RPS15AD),RPS15AD
AT3G60390,0.49,homeobox-leucine zipper protein 3(HAT3),HAT3
AT4G07504,0.49,hypothetical protein(AT4G07504),AT4G07504
AT4G12740,0.49,HhH-GPD base excision DNA repair family protein(AT4G12740),AT4G12740
AT4G15780,0.49,vesicle-associated membrane protein 724(VAMP724),VAMP724
AT1G14210,0.48,Ribonuclease T2 family protein(AT1G14210),AT1G14210
AT2G21540,0.48,SEC14-like 3(SFH3),SFH3
AT3G05140,0.48,ROP binding protein kinases 2(RBK2),RBK2
AT5G05430,0.48,RNA-binding protein(AT5G05430),AT5G05430
AT5G19310,0.48,homeotic protein regulator(CHR23),CHR23
AT1G14690,0.47,microtubule-associated protein 65-7(MAP65-7),MAP65-7
AT1G31935,0.47,ncRNA(AT1G31935),AT1G31935
AT1G71015,0.47,plastid movement impaired protein(AT1G71015),AT1G71015
AT2G18890,0.47,Protein kinase superfamily protein(AT2G18890),AT2G18890
AT2G20670,0.47,"sugar phosphate exchanger, putative (DUF506)(AT2G20670)",AT2G20670
AT2G41630,0.47,transcription factor IIB(TFIIB),TFIIB
AT3G01345,0.47,Expressed protein(AT3G01345),AT3G01345
AT3G04920,0.47,Ribosomal protein S24e family protein(AT3G04920),AT3G04920
AT3G43850,0.47,hypothetical protein(AT3G43850),AT3G43850
AT4G22950,0.47,AGAMOUS-like 19(AGL19),AGL19
AT5G19480,0.47,mediator of RNA polymerase II transcription subunit(AT5G19480),AT5G19480
AT1G14930,0.46,Polyketide cyclase/dehydrase and lipid transport superfamily protein(AT1G14930),AT1G14930
AT1G63150,0.46,Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G63150),AT1G63150
AT1G68800,0.46,TCP domain protein 12(TCP12),TCP12
AT2G02710,0.46,PAS/LOV protein B(PLPB),PLPB
AT2G02910,0.46,transmembrane protein (DUF616)(AT2G02910),AT2G02910
AT3G05060,0.46,NOP56-like pre RNA processing ribonucleoprotein(AT3G05060),AT3G05060
AT3G18200,0.46,nodulin MtN21 /EamA-like transporter family protein(UMAMIT4),UMAMIT4
AT4G01330,0.46,Protein kinase superfamily protein(AT4G01330),AT4G01330
AT4G01915,0.46,hypothetical protein(AT4G01915),AT4G01915
AT4G37770,0.46,1-amino-cyclopropane-1-carboxylate synthase 8(ACS8),ACS8
AT1G48405,0.45,Kinase interacting (KIP1-like) family protein(AT1G48405),AT1G48405
AT1G71020,0.45,ARM repeat superfamily protein(AT1G71020),AT1G71020
AT3G10680,0.45,HSP20-like chaperones superfamily protein(AT3G10680),AT3G10680
AT3G15550,0.45,trichohyalin(AT3G15550),AT3G15550
AT3G51290,0.45,"pyridoxal-phosphate-dependent serine hydroxymethyltransferase, putative (DUF632)(AT3G51290)",AT3G51290
AT4G01535,0.45,hypothetical protein(AT4G01535),AT4G01535
AT5G38050,0.45,RNA polymerase II transcription elongation factor(AT5G38050),AT5G38050
AT5G44040,0.45,eisosome SEG2-like protein(AT5G44040),AT5G44040
AT5G49360,0.45,beta-xylosidase 1(BXL1),BXL1
AT5G66470,0.45,GTP-binding protein Era-like protein(AT5G66470),AT5G66470
AT1G13245,0.44,ROTUNDIFOLIA like 17(RTFL17),RTFL17
AT1G36390,0.44,Co-chaperone GrpE family protein(AT1G36390),CGE2
AT1G48050,0.44,Ku80 family protein(KU80),KU80
AT1G55490,0.44,chaperonin 60 beta(CPN60B),CPN60B
AT2G26300,0.44,G protein alpha subunit 1(GP ALPHA 1),GP ALPHA 1
AT2G41550,0.44,Rho termination factor(AT2G41550),AT2G41550
AT3G27770,0.44,plant/protein(AT3G27770),AT3G27770
AT4G04402,0.44,two-component phosphorelay mediator(AT4G04402),AT4G04402
AT5G16350,0.44,O-acyltransferase (WSD1-like) family protein(AT5G16350),AT5G16350
AT1G01620,0.43,plasma membrane intrinsic protein 1C(PIP1C),PIP1C
AT1G11400,0.43,partner of Y14-MAGO(PYM),PYM
AT1G20065,0.43,DNA-directed RNA polymerase I subunit RPA12-like protein(AT1G20065),AT1G20065
AT1G30820,0.43,CTP synthase family protein(AT1G30820),AT1G30820
AT1G34030,0.43,Ribosomal protein S13/S18 family(AT1G34030),AT1G34030
AT1G69325,0.43,Remorin family protein(AT1G69325),AT1G69325
AT2G43110,0.43,U3 containing 90S pre-ribosomal complex subunit(AT2G43110),AT2G43110
AT3G14560,0.43,hypothetical protein(AT3G14560),AT3G14560
AT3G22320,0.43,Eukaryotic rpb5 RNA polymerase subunit family protein(NRPB5),NRPB5
AT3G56660,0.43,basic region/leucine zipper motif protein 49(BZIP49),BZIP49
AT4G35540,0.43,POLLEN-EXPRESSED TRANSCRIPTION FACTOR 2(AT4G35540),AT4G35540
AT4G35770,0.43,Rhodanese/Cell cycle control phosphatase superfamily protein(SEN1),SEN1
AT5G59850,0.43,Ribosomal protein S8 family protein(AT5G59850),AT5G59850
AT1G07840,0.42,Sas10/Utp3/C1D family(AT1G07840),AT1G07840
AT1G09760,0.42,U2 small nuclear ribonucleoprotein A(U2A'),U2A'
AT1G14290,0.42,sphingoid base hydroxylase 2(SBH2),SBH2
AT1G19990,0.42,nucleolin(AT1G19990),AT1G19990
AT1G23410,0.42,Ribosomal protein S27a / Ubiquitin family protein(AT1G23410),AT1G23410
AT1G33040,0.42,nascent polypeptide-associated complex subunit alpha-like protein 5(NACA5),"NACA5"
AT1G53250,0.42,"histone-lysine N-methyltransferase, H3 lysine-79 specific-like protein(AT1G53250)",AT1G53250
AT1G71720,0.42,Nucleic acid-binding proteins superfamily(PDE338),PDE338
AT2G24060,0.42,Translation initiation factor 3 protein(AT2G24060),AT2G24060
AT2G31250,0.42,Glutamyl-tRNA reductase family protein(HEMA3),HEMA3
AT2G42850,0.42,"cytochrome P450, family 718(CYP718)",CYP718
AT3G26818,0.42,ncRNA(MIR169m),MIR169m
AT3G30180,0.42,brassinosteroid-6-oxidase 2(BR6OX2),BR6OX2
AT3G48100,0.42,response regulator 5(RR5),RR5
AT3G49880,0.42,glycosyl hydrolase family protein 43(AT3G49880),AT3G49880
AT3G62620,0.42,sucrose-phosphatase-like protein(AT3G62620),AT3G62620
AT4G26760,0.42,microtubule-associated protein 65-2(MAP65-2),MAP65-2
AT4G31290,0.42,ChaC-like family protein(AT4G31290),AT4G31290
AT4G31820,0.42,Phototropic-responsive NPH3 family protein(ENP),ENP
AT4G32120,0.42,Galactosyltransferase family protein(AT4G32120),AT4G32120
AT5G43700,0.42,AUX/IAA transcriptional regulator family protein(ATAUX2-11),ATAUX2-11
AT5G55350,0.42,MBOAT (membrane bound O-acyl transferase) family protein(AT5G55350),AT5G55350
ATCG00470,0.42,ATPE,ATPE
AT1G02650,0.41,Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G02650),AT1G02650
AT1G23870,0.41,trehalose-phosphatase/synthase 9(TPS9),TPS9
AT1G29180,0.41,Cysteine/Histidine-rich C1 domain family protein(AT1G29180),AT1G29180
AT1G29220,0.41,transcriptional regulator family protein(AT1G29220),AT1G29220
AT1G30730,0.41,FAD-binding Berberine family protein(AT1G30730),AT1G30730
AT1G33055,0.41,hypothetical protein(AT1G33055),AT1G33055
AT1G53542,0.41,hypothetical protein(AT1G53542),AT1G53542
AT1G57660,0.41,Translation protein SH3-like family protein(AT1G57660),AT1G57660
AT1G68020,0.41,UDP-Glycosyltransferase / trehalose-phosphatase family protein(ATTPS6),ATTPS6
AT2G21385,0.41,hypothetical protein(AT2G21385),AT2G21385
AT2G27530,0.41,Ribosomal protein L1p/L10e family(PGY1),PGY1
AT2G30280,0.41,RNA-directed DNA methylation 4(RDM4),RDM4
AT2G40710,0.41,hemolysin-III related integral membrane protein(AT2G40710),AT2G40710
AT2G42060,0.41,Cysteine/Histidine-rich C1 domain family protein(AT2G42060),AT2G42060
AT2G45170,0.41,AUTOPHAGY 8E(ATG8E),ATG8E
AT3G06820,0.41,Mov34/MPN/PAD-1 family protein(BRCC36B),BRCC36B
AT3G09380,0.41,MIP18 family protein(AT3G09380),AT3G09380
AT3G10340,0.41,phenylalanine ammonia-lyase 4(PAL4),PAL4
AT3G19420,0.41,PTEN 2(PEN2),PEN2
AT3G47600,0.41,myb domain protein 94(MYB94),MYB94
AT3G49330,0.41,Plant invertase/pectin methylesterase inhibitor superfamily protein(AT3G49330),AT3G49330
AT4G00755,0.41,F-box family protein(AT4G00755),AT4G00755
AT4G10170,0.41,SNARE-like superfamily protein(AT4G10170),AT4G10170
AT4G26140,0.41,beta-galactosidase 12(BGAL12),BGAL12
AT4G33740,0.41,myb-like protein X(AT4G33740),AT4G33740
AT5G02400,0.41,pol-like 2(PLL2),PLL2
AT5G03860,0.41,malate synthase(MLS),MLS
AT5G07090,0.41,Ribosomal protein S4 (RPS4A) family protein(AT5G07090),AT5G07090
AT5G09840,0.41,Putative endonuclease or glycosyl hydrolase(AT5G09840),AT5G09840
AT5G10900,0.41,Calcineurin-like metallo-phosphoesterase superfamily protein(AT5G10900),AT5G10900
AT5G13570,0.41,decapping 2(DCP2),DCP2
AT5G16130,0.41,Ribosomal protein S7e family protein(AT5G16130),AT5G16130
AT5G16830,0.41,syntaxin of plants 21(SYP21),SYP21
AT5G35750,0.41,histidine kinase 2(HK2),HK2
AT1G13480,0.4,hypothetical protein (DUF1262)(AT1G13480),AT1G13480
AT1G15002,0.4,ncRNA(AT1G15002),AT1G15002
AT1G52827,0.4,cadmium tolerance 1(CDT1),CDT1
AT1G68870,0.4,SOB five-like 2(SOFL2),SOFL2
