gene,annotation,symbol
AT1G01010,NAC domain containing protein 1(NAC001),NAC001
AT1G01020,ARV1 family protein(ARV1),ARV1
AT1G01030,AP2/B3-like transcriptional factor family protein(NGA3),NGA3
AT1G01040,dicer-like 1(DCL1),DCL1
AT1G01046,ncRNA(MIR838),MIR838
AT1G01050,pyrophosphorylase 1(PPa1),PPa1
AT1G01060,Homeodomain-like superfamily protein(LHY),LHY
AT1G01070,nodulin MtN21 /EamA-like transporter family protein(UMAMIT28),UMAMIT28
AT1G01080,RNA-binding (RRM/RBD/RNP motifs) family protein(AT1G01080),AT1G01080)
AT1G01090,pyruvate dehydrogenase E1 alpha(PDH-E1 ALPHA),PDH-E1 ALPHA
AT1G01100,60S acidic ribosomal protein family(AT1G01100),AT1G01100
AT1G01110,IQ-domain 18(IQD18),IQD18
AT1G01120,3-ketoacyl-CoA synthase 1(KCS1),KCS1
AT1G01130,CBL-interacting Serine/Threonine-kinase(AT1G01130),AT1G01130
AT1G01140,CBL-interacting protein kinase 9(CIPK9),CIPK9
AT1G01150,Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein(AT1G01150),AT1G01150
AT1G01160,GRF1-interacting factor 2(GIF2),GIF2
AT1G01170,ozone-responsive stress-like protein (DUF1138)(AT1G01170),AT1G01170
AT1G01180,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT1G01180),AT1G01180
AT1G01190,"cytochrome P450, family 78, subfamily A, polypeptide 8(CYP78A8)",CYP78A8
AT1G01200,RAB GTPase homolog A3(RABA3),RABA3
AT1G01210,"DNA-directed RNA polymerase, subunit M, archaeal(AT1G01210)",AT1G01210
AT1G01220,L-fucokinase/GDP-L-fucose pyrophosphorylase(FKGP),FKGP
AT1G01225,NC domain-containing protein-like protein(AT1G01225),AT1G01225
AT1G01230,ORMDL family protein(AT1G01230),AT1G01230
AT1G01240,transmembrane protein(AT1G01240),AT1G01240
AT1G01250,Integrase-type DNA-binding superfamily protein(AT1G01250),AT1G01250
AT1G01260,basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT1G01260),AT1G01260)
AT1G01290,cofactor of nitrate reductase and xanthine dehydrogenase 3(CNX3),CNX3
AT1G01300,Eukaryotic aspartyl protease family protein(AT1G01300),AT1G01300
AT1G01310,"CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein(AT1G01310)",AT1G01310 
AT1G01320,Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G01320),AT1G01320)
AT1G01340,cyclic nucleotide gated channel 10(CNGC10),CNGC10
AT1G01350,Zinc finger (CCCH-type/C3HC4-type RING finger) family protein(AT1G01350),AT1G01350
AT1G01355,Putative endonuclease or glycosyl hydrolase(AT1G01355),AT1G01355
AT1G01360,regulatory component of ABA receptor 1(RCAR1),RCAR1
AT1G01370,Histone superfamily protein(HTR12),HTR12
AT1G01380,Homeodomain-like superfamily protein(ETC1),ETC1
AT1G01390,UDP-Glycosyltransferase superfamily protein(AT1G01390),AT1G01390
AT1G01420,UDP-glucosyl transferase 72B3(UGT72B3),UGT72B3
AT1G01430,TRICHOME BIREFRINGENCE-LIKE 25(TBL25),TBL25
AT1G01440,hypothetical protein (DUF3133)(AT1G01440),AT1G01440
AT1G01448,ncRNA(AT1G01448),AT1G01448
AT1G01453,late embryogenesis abundant hydroxyproline-rich glycoprotein family protein(AT1G01453),AT1G01453
