gene,CHR,BP
AT5G10140,5,10140
AT1G50430,1,50430
AT3G21950,3,21950
AT1G78620,1,78620
AT5G52540,5,52540
AT5G60950,5,60950
AT5G65090,5,65090
AT1G11300,1,11300
AT1G34420,1,34420
AT2G23680,2,23680
AT2G33630,2,33630
AT5G17990,5,17990
AT5G41160,5,41160
AT2G28550,2,28550
AT2G38010,2,38010
AT2G45060,2,45060
AT5G44400,5,44400
AT2G34940,2,34940
AT2G46640,2,46640
AT4G23790,4,23790
AT4G29810,4,29810
AT5G05730,5,5730
AT5G10840,5,10840
AT5G57330,5,57330
AT1G23850,1,23850
AT2G03510,2,3510
AT4G26070,4,26070
AT4G36920,4,36920
AT5G66910,5,66910
AT1G63460,1,63460
AT1G80510,1,80510
AT3G09490,3,9490
AT3G13235,3,13235
AT3G16700,3,16700
AT3G25770,3,25770
AT3G45620,3,45620
AT3G63080,3,63080
AT5G27830,5,27830
AT5G40230,5,40230
AT5G64760,5,64760
AT2G05520,2,5520
AT2G31740,2,31740
AT3G23110,3,23110
AT3G28930,3,28930
AT4G13410,4,13410
AT4G25230,4,25230
AT5G16800,5,16800
AT5G44590,5,44590
AT5G57700,5,57700
AT5G61070,5,61070
AT1G15790,1,15790
AT1G66970,1,66970
AT2G29340,2,29340
AT2G45010,2,45010
AT2G47130,2,47130
AT2G47650,2,47650
AT3G15940,3,15940
AT3G28480,3,28480
AT4G02500,4,2500
AT4G23240,4,23240
AT4G28220,4,28220
AT4G31500,4,31500
AT4G36210,4,36210
AT5G23020,5,23020
AT5G45730,5,45730
AT1G13750,1,13750
AT1G18900,1,18900
AT1G23830,1,23830
AT1G56340,1,56340
AT1G74300,1,74300
AT2G04400,2,4400
AT2G20630,2,20630
AT2G23200,2,23200
AT2G40600,2,40600
AT2G43850,2,43850
AT3G13910,3,13910
AT3G16650,3,16650
AT3G17340,3,17340
AT3G20510,3,20510
AT3G55830,3,55830
AT4G01370,4,1370
AT4G16660,4,16660
AT4G36220,4,36220
AT5G19750,5,19750
AT5G25900,5,25900
AT5G49760,5,49760
