"gene","Dittberner_moleco18_Delta_13C_rs","Dittberner_moleco18_Delta_13C_P_val","annotation","symbol"
"AT4G23400",0.51,2.9e-07,"plasma membrane intrinsic protein 1;5(PIP1;5)","PIP1;5"
"AT2G03350",0.49,1.1e-06,"DUF538 family protein (Protein of unknown function, DUF538)(AT2G03350)","AT2G03350"
"AT1G74860",0.47,4.5e-06,"hypothetical protein(AT1G74860)","AT1G74860"
"AT4G38710",0.46,6.9e-06,"glycine-rich protein(AT4G38710)","AT4G38710"
"AT5G38420",0.46,7.6e-06,"Ribulose bisphosphate carboxylase (small chain) family protein(RBCS2B)","RBCS2B"
"AT5G64040",0.46,6.1e-06,"photosystem I reaction center subunit PSI-N, chloroplast, putative / PSI-N, putative (PSAN)(PSAN)","PSAN"
"AT1G63170",0.45,1.2e-05,"Zinc finger, C3HC4 type (RING finger) family protein(AT1G63170)","AT1G63170"
"AT4G37925",0.45,1.1e-05,"subunit NDH-M of NAD(P)H:plastoquinone dehydrogenase complex(NdhM)","NdhM"
"AT5G58360",0.45,9e-06,"ovate family protein 3(OFP3)","OFP3"
"AT2G44160",0.44,2e-05,"methylenetetrahydrofolate reductase 2(MTHFR2)","MTHFR2"
"AT3G03850",0.44,1.7e-05,"SAUR-like auxin-responsive protein family(SAUR26)","SAUR26"
"AT3G12345",0.44,2.2e-05,"FKBP-type peptidyl-prolyl cis-trans isomerase(AT3G12345)","AT3G12345"
"AT3G46780",0.44,2.1e-05,"plastid transcriptionally active 16(PTAC16)","PTAC16"
"AT3G55800",0.43,3.7e-05,"sedoheptulose-bisphosphatase(SBPASE)","SBPASE"
"AT4G38740",0.43,2.8e-05,"rotamase CYP 1(ROC1)","ROC1"
"AT4G38850",0.43,3.5e-05,"SAUR-like auxin-responsive protein family(SAUR15)","SAUR15"
"AT5G25630",0.43,2.8e-05,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT5G25630)","AT5G25630"
"AT5G45940",0.43,2.8e-05,"nudix hydrolase homolog 11(NUDT11)","NUDT11"
"AT1G49010",0.42,4.2e-05,"Duplicated homeodomain-like superfamily protein(AT1G49010)","MYBS1"
"AT3G50820",0.42,5.2e-05,"photosystem II subunit O-2(PSBO2)","PSBO2"
"AT3G54050",0.42,5.8e-05,"high cyclic electron flow 1(HCEF1)","HCEF1"
"AT4G34830",0.42,5.5e-05,"Pentatricopeptide repeat (PPR) superfamily protein(MRL1)","MRL1"
"AT1G09310",0.41,6.9e-05,"plant/protein (Protein of unknown function, DUF538)(AT1G09310)","AT1G09310"
"AT1G23880",0.41,7.4e-05,"NHL domain-containing protein(AT1G23880)","AT1G23880"
"AT2G19760",0.41,6.8e-05,"profilin 1(PRF1)","PRF1"
"AT2G22640",0.41,6.4e-05,"BRICK1(BRK1)","BRK1"
"AT2G31210",0.41,8.2e-05,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT2G31210)","bHLH091"
"AT3G57040",0.41,6.1e-05,"response regulator 9(ARR9)","ARR9"
"AT4G09650",0.41,7.9e-05,"F-type H+-transporting ATPase subunit delta(ATPD)","ATPD"
"AT5G13090",0.41,5.8e-05,"hypothetical protein(AT5G13090)","AT5G13090"
"AT1G04250",0.4,0.00014,"AUX/IAA transcriptional regulator family protein(AXR3)","AXR3"
"AT1G15260",0.4,0.00013,"LOW protein: ATP-dependent RNA helicase-like protein(AT1G15260)","AT1G15260"
"AT1G51500",0.4,0.00012,"ABC-2 type transporter family protein(ABCG12)","ABCG12"
"AT1G55480",0.4,0.00012,"protein containing PDZ domain, a K-box domain, and a TPR region(ZKT)","ZKT"
"AT1G66130",0.4,0.00011,"NAD(P)-binding Rossmann-fold superfamily protein(AT1G66130)","AT1G66130"
"AT2G30960",0.4,0.00012,"myosin-M heavy chain-like protein(AT2G30960)","AT2G30960"
"AT3G01550",0.4,0.00011,"phosphoenolpyruvate (pep)/phosphate translocator 2(PPT2)","PPT2"
"AT3G15850",0.4,0.00011,"fatty acid desaturase 5(FAD5)","FAD5"
"AT4G14240",0.4,1e-04,"CBS domain protein with a domain protein (DUF21)(AT4G14240)","AT4G14240"
"AT4G25920",0.4,0.00012,"hypothetical protein (DUF295)(AT4G25920)","AT4G25920"
"AT5G12150",0.4,9.6e-05,"Rho GTPase activation protein (RhoGAP) with PH domain-containing protein(AT5G12150)","AT5G12150"
"AT5G45170",0.4,0.00011,"Haloacid dehalogenase-like hydrolase (HAD) superfamily protein(AT5G45170)","AT5G45170"
"AT5G56850",0.4,0.00013,"hypothetical protein(AT5G56850)","AT5G56850"
"AT5G59750",0.4,0.00013,"monofunctional riboflavin biosynthesis protein RIBA 3(RIBA3)","RIBA3"
"AT5G64940",0.4,0.00014,"ABC2 homolog 13(ATH13)","ATH13"
"AT1G04985",0.39,0.00014,"triacylglycerol lipase-like protein(AT1G04985)","AT1G04985"
"AT1G29660",0.39,0.00018,"GDSL-like Lipase/Acylhydrolase superfamily protein(AT1G29660)","AT1G29660"
"AT1G58290",0.39,0.00015,"Glutamyl-tRNA reductase family protein(HEMA1)","HEMA1"
"AT2G28150",0.39,0.00015,"UPSTREAM OF FLC protein (DUF966)(AT2G28150)","AT2G28150"
"AT2G31450",0.39,0.00017,"DNA glycosylase superfamily protein(ATNTH1)","ATNTH1"
"AT2G32450",0.39,2e-04,"Calcium-binding tetratricopeptide family protein(AT2G32450)","AT2G32450"
"AT3G14690",0.39,0.00019,"cytochrome P450, family 72, subfamily A, polypeptide 15(CYP72A15)","CYP72A15"
"AT3G50560",0.39,0.00015,"NAD(P)-binding Rossmann-fold superfamily protein(AT3G50560)","AT3G50560"
"AT3G53420",0.39,0.00014,"plasma membrane intrinsic protein 2A(PIP2A)","PIP2A"
"AT3G58980",0.39,0.00017,"F-box family protein(AT3G58980)","AT3G58980"
"AT4G24370",0.39,2e-04,"hypothetical protein(AT4G24370)","AT4G24370"
"AT4G25080",0.39,0.00015,"magnesium-protoporphyrin IX methyltransferase(CHLM)","CHLM"
"AT4G26860",0.39,2e-04,"Putative pyridoxal phosphate-dependent enzyme, YBL036C type(AT4G26860)","AT4G26860"
"AT5G06060",0.39,0.00016,"NAD(P)-binding Rossmann-fold superfamily protein(AT5G06060)","AT5G06060"
"AT5G15910",0.39,0.00016,"NAD(P)-binding Rossmann-fold superfamily protein(AT5G15910)","AT5G15910"
"AT1G04350",0.38,0.00024,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT1G04350)","AT1G04350"
"AT1G12900",0.38,0.00029,"glyceraldehyde 3-phosphate dehydrogenase A subunit 2(GAPA-2)","GAPA-2"
"AT1G20340",0.38,0.00025,"Cupredoxin superfamily protein(DRT112)","DRT112"
"AT1G27950",0.38,0.00032,"glycosylphosphatidylinositol-anchored lipid protein transfer 1(LTPG1)","LTPG1"
"AT1G29430",0.38,0.00026,"SAUR-like auxin-responsive protein family(AT1G29430)","AT1G29430"
"AT1G64090",0.38,3e-04,"Reticulan like protein B3(RTNLB3)","RTNLB3"
"AT1G66330",0.38,0.00026,"senescence-associated family protein(AT1G66330)","AT1G66330"
"AT1G67195",0.38,0.00022,"ncRNA(MIR414)","MIR414"
"AT2G05620",0.38,0.00028,"proton gradient regulation 5(PGR5)","PGR5"
"AT2G24420",0.38,0.00027,"DNA repair ATPase-like protein(AT2G24420)","AT2G24420"
"AT2G32950",0.38,0.00032,"Transducin/WD40 repeat-like superfamily protein(COP1)","COP1"
"AT2G36870",0.38,0.00032,"xyloglucan endotransglucosylase/hydrolase 32(XTH32)","XTH32"
"AT2G45820",0.38,0.00026,"Remorin family protein(AT2G45820)","AT2G45820"
"AT3G03900",0.38,0.00024,"adenosine-5'-phosphosulfate (APS) kinase 3(APK3)","APK3"
"AT3G13062",0.38,0.00027,"Polyketide cyclase/dehydrase and lipid transport superfamily protein(AT3G13062)","AT3G13062"
"AT3G25580",0.38,0.00023,"Thioredoxin superfamily protein(AT3G25580)","AT3G25580"
"AT3G26000",0.38,0.00029,"Ribonuclease inhibitor(AT3G26000)","AT3G26000"
"AT3G50630",0.38,0.00022,"KIP-related protein 2(KRP2)","KRP2"
"AT3G51850",0.38,0.00031,"calcium-dependent protein kinase 13(CPK13)","CPK13"
"AT4G03000",0.38,0.00023,"RING/U-box superfamily protein(AT4G03000)","AT4G03000"
"AT4G14480",0.38,0.00024,"Protein kinase superfamily protein(AT4G14480)","AT4G14480"
"AT4G25960",0.38,0.00022,"P-glycoprotein 2(ABCB2)","ABCB2"
"AT4G27430",0.38,0.00028,"COP1-interacting protein 7(CIP7)","CIP7"
"AT4G34730",0.38,0.00031,"ribosome-binding factor A family protein(AT4G34730)","AT4G34730"
"AT4G35920",0.38,0.00023,"PLAC8 family protein(MCA1)","MCA1"
"AT5G04430",0.38,0.00026,"binding to TOMV RNA 1L (long form)(BTR1L)","BTR1L"
"AT5G13630",0.38,0.00027,"magnesium-chelatase subunit chlH, chloroplast, putative / Mg-protoporphyrin IX chelatase, putative (CHLH)(GUN5)","GUN5"
"AT1G09340",0.37,4e-04,"chloroplast RNA binding protein(CRB)","CRB"
"AT1G09440",0.37,0.00035,"Protein kinase superfamily protein(AT1G09440)","AT1G09440"
"AT1G14840",0.37,0.00039,"microtubule-associated proteins 70-4(MAP70-4)","MAP70-4"
"AT1G19000",0.37,0.00033,"Homeodomain-like superfamily protein(AT1G19000)","AT1G19000"
